Order_ID;Order_Date;Customer_ID;Product_ID;Quantity;Customer_Name;Email;Country;Coffee_Type;Roast_Type;Size;Unit_Price;Sales;Coffee_type_Name;Roast_type_Name
WOQ-36015-429;Sep-25-2021;51427-89175-QJ;L-M-0.5;6;"Adrian Swaine";NULL;"United States";Lib;M;"0.5 kg";"$ 8.73";"$ 52.38";Libarica;Medium
SCT-60553-454;Jul-17-2021;39123-12846-YJ;L-L-0.2;5;"Gallard Gatheral";ggatheralx@123-reg.co.uk;"United States";Lib;L;"0.2 kg";"$ 4.76";"$ 23.78";Libarica;Light
GFK-52063-244;Jun-29-2020;44981-99666-XB;L-L-0.5;6;"Una Welberry";uwelberryy@ebay.co.uk;"United Kingdom";Lib;L;"0.5 kg";"$ 9.51";"$ 57.06";Libarica;Light
AMM-79521-378;Jun-01-2021;24825-51803-CQ;A-D-0.5;6;"Faber Eilhart";feilhartz@who.int;"United States";Ara;D;"0.5 kg";"$ 5.97";"$ 35.82";Arabica;Dark
QUQ-90580-772;Feb-06-2021;77634-13918-GJ;L-M-0.2;2;"Zorina Ponting";zponting10@altervista.org;"United States";Lib;M;"0.2 kg";"$ 4.37";"$ 8.73";Libarica;Medium
LGD-24408-274;Apr-25-2019;13694-25001-LX;L-L-0.5;3;"Silvio Strase";sstrase11@booking.com;"United States";Lib;L;"0.5 kg";"$ 9.51";"$ 28.53";Libarica;Light
HCT-95608-959;Apr-25-2020;08523-01791-TI;R-M-2.5;5;"Dorie de la Tremoille";dde12@unesco.org;"United States";Rob;M;"2.5 kg";"$ 22.88";"$ 114.42";Robusta;Medium
OFX-99147-470;Nov-24-2021;49860-68865-AB;R-M-1;6;"Hy Zanetto";NULL;"United States";Rob;M;"1.0 kg";"$ 9.95";"$ 59.70";Robusta;Medium
LUO-37559-016;Apr-19-2021;21240-83132-SP;L-M-1;3;"Jessica McNess";NULL;"United States";Lib;M;"1.0 kg";"$ 14.55";"$ 43.65";Libarica;Medium
XWC-20610-167;Jul-07-2022;08350-81623-TF;E-D-0.2;2;"Lorenzo Yeoland";lyeoland15@pbs.org;"United States";Exc;D;"0.2 kg";"$ 3.65";"$ 7.29";Excelsa;Dark
GPU-79113-136;May-22-2019;73284-01385-SJ;R-D-0.2;3;"Abigail Tolworthy";atolworthy16@toplist.cz;"United States";Rob;D;"0.2 kg";"$ 2.68";"$ 8.05";Robusta;Dark
ULR-52653-960;Oct-04-2021;04152-34436-IE;L-L-2.5;2;"Maurie Bartol";NULL;"United States";Lib;L;"2.5 kg";"$ 36.46";"$ 72.91";Libarica;Light
HPI-42308-142;Apr-11-2020;06631-86965-XP;E-M-0.5;2;"Olag Baudassi";obaudassi18@seesaa.net;"United States";Exc;M;"0.5 kg";"$ 8.25";"$ 16.50";Excelsa;Medium
XHI-30227-581;Jan-31-2022;54619-08558-ZU;L-D-2.5;6;"Petey Kingsbury";pkingsbury19@comcast.net;"United States";Lib;D;"2.5 kg";"$ 29.78";"$ 178.71";Libarica;Dark
DJH-05202-380;Nov-07-2019;85589-17020-CX;E-M-2.5;2;"Donna Baskeyfied";NULL;"United States";Exc;M;"2.5 kg";"$ 31.62";"$ 63.25";Excelsa;Medium
VMW-26889-781;Jun-28-2019;36078-91009-WU;A-L-0.2;2;"Arda Curley";acurley1b@hao123.com;"United States";Ara;L;"0.2 kg";"$ 3.89";"$ 7.77";Arabica;Light
DBU-81099-586;Sep-11-2020;15770-27099-GX;A-D-2.5;4;"Raynor McGilvary";rmcgilvary1c@tamu.edu;"United States";Ara;D;"2.5 kg";"$ 22.88";"$ 91.54";Arabica;Dark
PQA-54820-810;Aug-17-2022;91460-04823-BX;A-L-1;3;"Isis Pikett";ipikett1d@xinhuanet.com;"United States";Ara;L;"1.0 kg";"$ 12.95";"$ 38.85";Arabica;Light
XKB-41924-202;Aug-19-2022;45089-52817-WN;L-D-0.5;2;"Inger Bouldon";ibouldon1e@gizmodo.com;"United States";Lib;D;"0.5 kg";"$ 7.77";"$ 15.54";Libarica;Dark
DWZ-69106-473;May-15-2019;76447-50326-IC;L-L-2.5;4;"Karry Flanders";kflanders1f@over-blog.com;Ireland;Lib;L;"2.5 kg";"$ 36.46";"$ 145.82";Libarica;Light
YHV-68700-050;Sep-11-2019;26333-67911-OL;R-M-0.5;5;"Hartley Mattioli";hmattioli1g@webmd.com;"United Kingdom";Rob;M;"0.5 kg";"$ 5.97";"$ 29.85";Robusta;Medium
YHV-68700-050;Sep-11-2019;26333-67911-OL;L-L-2.5;2;"Hartley Mattioli";hmattioli1g@webmd.com;"United Kingdom";Lib;L;"2.5 kg";"$ 36.46";"$ 72.91";Libarica;Light
KRB-88066-642;Mar-16-2021;22107-86640-SB;L-M-1;5;"Archambault Gillard";agillard1i@issuu.com;"United States";Lib;M;"1.0 kg";"$ 14.55";"$ 72.75";Libarica;Medium
LQU-08404-173;Dec-03-2020;09960-34242-LZ;L-L-1;3;"Salomo Cushworth";NULL;"United States";Lib;L;"1.0 kg";"$ 15.85";"$ 47.55";Libarica;Light
CWK-60159-881;Jan-27-2020;04671-85591-RT;E-D-0.2;3;"Theda Grizard";tgrizard1k@odnoklassniki.ru;"United States";Exc;D;"0.2 kg";"$ 3.65";"$ 10.94";Excelsa;Dark
EEG-74197-843;Jul-17-2022;25729-68859-UA;E-L-1;4;"Rozele Relton";rrelton1l@stanford.edu;"United States";Exc;L;"1.0 kg";"$ 14.85";"$ 59.40";Excelsa;Light
UCZ-59708-525;Mar-04-2022;05501-86351-NX;L-D-2.5;3;"Willa Rolling";NULL;"United States";Lib;D;"2.5 kg";"$ 29.78";"$ 89.35";Libarica;Dark
HUB-47311-849;Dec-07-2021;04521-04300-OK;L-M-0.5;3;"Stanislaus Gilroy";sgilroy1n@eepurl.com;"United States";Lib;M;"0.5 kg";"$ 8.73";"$ 26.19";Libarica;Medium
WYM-17686-694;Feb-25-2021;58689-55264-VK;A-D-2.5;5;"Correy Cottingham";ccottingham1o@wikipedia.org;"United States";Ara;D;"2.5 kg";"$ 22.88";"$ 114.42";Arabica;Dark
ZYQ-15797-695;Feb-25-2019;79436-73011-MM;R-D-0.5;5;"Pammi Endacott";NULL;"United Kingdom";Rob;D;"0.5 kg";"$ 5.37";"$ 26.85";Robusta;Dark
EEJ-16185-108;Feb-09-2019;65552-60476-KY;L-L-0.2;5;"Nona Linklater";NULL;"United States";Lib;L;"0.2 kg";"$ 4.76";"$ 23.78";Libarica;Light
RWR-77888-800;Feb-07-2020;69904-02729-YS;A-M-0.5;1;"Annadiane Dykes";adykes1r@eventbrite.com;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 6.75";Arabica;Medium
LHN-75209-742;Mar-23-2020;01433-04270-AX;R-M-0.5;6;"Felecia Dodgson";NULL;"United States";Rob;M;"0.5 kg";"$ 5.97";"$ 35.82";Robusta;Medium
TIR-71396-998;Mar-06-2022;14204-14186-LA;R-D-2.5;4;"Angelia Cockrem";acockrem1t@engadget.com;"United States";Rob;D;"2.5 kg";"$ 20.58";"$ 82.34";Robusta;Dark
RXF-37618-213;Apr-15-2022;32948-34398-HC;R-L-0.5;1;"Belvia Umpleby";bumpleby1u@soundcloud.com;"United States";Rob;L;"0.5 kg";"$ 7.17";"$ 7.17";Robusta;Light
ANM-16388-634;Nov-19-2021;77343-52608-FF;L-L-0.2;2;"Nat Saleway";nsaleway1v@dedecms.com;"United States";Lib;L;"0.2 kg";"$ 4.76";"$ 9.51";Libarica;Light
WYL-29300-070;Oct-16-2019;42770-36274-QA;R-M-0.2;1;"Hayward Goulter";hgoulter1w@abc.net.au;"United States";Rob;M;"0.2 kg";"$ 2.99";"$ 2.99";Robusta;Medium
JHW-74554-805;Nov-26-2019;14103-58987-ZU;R-M-1;6;"Gay Rizzello";grizzello1x@symantec.com;"United Kingdom";Rob;M;"1.0 kg";"$ 9.95";"$ 59.70";Robusta;Medium
KYS-27063-603;Jun-30-2019;69958-32065-SW;E-L-2.5;4;"Shannon List";slist1y@mapquest.com;"United States";Exc;L;"2.5 kg";"$ 34.15";"$ 136.62";Excelsa;Light
GAZ-58626-277;Jan-04-2021;69533-84907-FA;L-L-0.2;2;"Shirlene Edmondson";sedmondson1z@theguardian.com;Ireland;Lib;L;"0.2 kg";"$ 4.76";"$ 9.51";Libarica;Light
RPJ-37787-335;Oct-27-2020;76005-95461-CI;A-M-2.5;3;"Aurlie McCarl";NULL;"United States";Ara;M;"2.5 kg";"$ 25.87";"$ 77.62";Arabica;Medium
LEF-83057-763;Jun-15-2021;15395-90855-VB;L-M-0.2;5;"Alikee Carryer";NULL;"United States";Lib;M;"0.2 kg";"$ 4.37";"$ 21.83";Libarica;Medium
RPW-36123-215;Jul-19-2021;80640-45811-LB;E-L-0.5;2;"Jennifer Rangall";jrangall22@newsvine.com;"United States";Exc;L;"0.5 kg";"$ 8.91";"$ 17.82";Excelsa;Light
WLL-59044-117;Jul-23-2021;28476-04082-GR;R-D-1;6;"Kipper Boorn";kboorn23@ezinearticles.com;Ireland;Rob;D;"1.0 kg";"$ 8.95";"$ 53.70";Robusta;Dark
AWT-22827-563;Jan-25-2020;12018-75670-EU;R-L-0.2;1;"Melania Beadle";NULL;Ireland;Rob;L;"0.2 kg";"$ 3.58";"$ 3.58";Robusta;Light
QLM-07145-668;May-09-2019;86437-17399-FK;E-D-0.2;2;"Colene Elgey";celgey25@webs.com;"United States";Exc;D;"0.2 kg";"$ 3.65";"$ 7.29";Excelsa;Dark
HVQ-64398-930;Mar-30-2020;62979-53167-ML;A-M-0.5;6;"Lothaire Mizzi";lmizzi26@rakuten.co.jp;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 40.50";Arabica;Medium
WRT-40778-247;Mar-13-2022;54810-81899-HL;R-L-1;4;"Cletis Giacomazzo";cgiacomazzo27@jigsy.com;"United States";Rob;L;"1.0 kg";"$ 11.95";"$ 47.80";Robusta;Light
SUB-13006-125;Apr-17-2019;26103-41504-IB;A-L-0.5;5;"Ami Arnow";aarnow28@arizona.edu;"United States";Ara;L;"0.5 kg";"$ 7.77";"$ 38.85";Arabica;Light
CQM-49696-263;Oct-25-2019;76534-45229-SG;L-L-2.5;3;"Sheppard Yann";syann29@senate.gov;"United States";Lib;L;"2.5 kg";"$ 36.46";"$ 109.37";Libarica;Light
KXN-85094-246;Sep-13-2019;81744-27332-RR;L-M-2.5;3;"Bunny Naulls";bnaulls2a@tiny.cc;Ireland;Lib;M;"2.5 kg";"$ 33.46";"$ 100.39";Libarica;Medium
XOQ-12405-419;Apr-12-2020;91513-75657-PH;R-D-2.5;4;"Hally Lorait";NULL;"United States";Rob;D;"2.5 kg";"$ 20.58";"$ 82.34";Robusta;Dark
HYF-10254-369;Nov-14-2019;30373-66619-CB;L-L-0.5;1;"Zaccaria Sherewood";zsherewood2c@apache.org;"United States";Lib;L;"0.5 kg";"$ 9.51";"$ 9.51";Libarica;Light
XXJ-47000-307;Jul-18-2019;31582-23562-FM;A-L-2.5;3;"Jeffrey Dufaire";jdufaire2d@fc2.com;"United States";Ara;L;"2.5 kg";"$ 29.78";"$ 89.35";Arabica;Light
XXJ-47000-307;Jul-18-2019;31582-23562-FM;A-D-0.2;4;"Jeffrey Dufaire";jdufaire2d@fc2.com;"United States";Ara;D;"0.2 kg";"$ 2.99";"$ 11.94";Arabica;Dark
ZDK-82166-357;Apr-03-2021;81431-12577-VD;A-M-1;3;"Beitris Keaveney";bkeaveney2f@netlog.com;"United States";Ara;M;"1.0 kg";"$ 11.25";"$ 33.75";Arabica;Medium
IHN-19982-362;Mar-29-2021;68894-91205-MP;R-L-1;3;"Elna Grise";egrise2g@cargocollective.com;"United States";Rob;L;"1.0 kg";"$ 11.95";"$ 35.85";Robusta;Light
VMT-10030-889;Dec-15-2021;87602-55754-VN;A-L-1;6;"Torie Gottelier";tgottelier2h@vistaprint.com;"United States";Ara;L;"1.0 kg";"$ 12.95";"$ 77.70";Arabica;Light
NHL-11063-100;May-20-2020;39181-35745-WH;A-L-1;4;"Loydie Langlais";NULL;Ireland;Ara;L;"1.0 kg";"$ 12.95";"$ 51.80";Arabica;Light
ROV-87448-086;Nov-02-2020;30381-64762-NG;A-M-2.5;4;"Adham Greenhead";agreenhead2j@dailymail.co.uk;"United States";Ara;M;"2.5 kg";"$ 25.87";"$ 103.50";Arabica;Medium
DGY-35773-612;Jul-25-2020;17503-27693-ZH;E-L-1;3;"Hamish MacSherry";NULL;"United States";Exc;L;"1.0 kg";"$ 14.85";"$ 44.55";Excelsa;Light
YWH-50638-556;Mar-14-2019;89442-35633-HJ;E-L-0.5;4;"Else Langcaster";elangcaster2l@spotify.com;"United Kingdom";Exc;L;"0.5 kg";"$ 8.91";"$ 35.64";Excelsa;Light
ISL-11200-600;Jul-02-2020;13654-85265-IL;A-D-0.2;6;"Rudy Farquharson";NULL;Ireland;Ara;D;"0.2 kg";"$ 2.99";"$ 17.91";Arabica;Dark
LBZ-75997-047;Dec-17-2019;40946-22090-FP;A-M-2.5;6;"Norene Magauran";nmagauran2n@51.la;"United States";Ara;M;"2.5 kg";"$ 25.87";"$ 155.25";Arabica;Medium
EUH-08089-954;Dec-06-2020;29050-93691-TS;A-D-0.2;2;"Vicki Kirdsch";vkirdsch2o@google.fr;"United States";Ara;D;"0.2 kg";"$ 2.99";"$ 5.97";Arabica;Dark
BLD-12227-251;Mar-04-2021;64395-74865-WF;A-M-0.5;2;"Ilysa Whapple";iwhapple2p@com.com;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 13.50";Arabica;Medium
OPY-30711-853;Jul-17-2021;81861-66046-SU;A-D-0.2;1;"Ruy Cancellieri";NULL;Ireland;Ara;D;"0.2 kg";"$ 2.99";"$ 2.99";Arabica;Dark
DBC-44122-300;Nov-04-2020;13366-78506-KP;L-M-0.2;3;"Aube Follett";NULL;"United States";Lib;M;"0.2 kg";"$ 4.37";"$ 13.10";Libarica;Medium
FJQ-60035-234;Apr-05-2021;08847-29858-HN;A-L-0.2;2;"Rudiger Di Bartolomeo";NULL;"United States";Ara;L;"0.2 kg";"$ 3.89";"$ 7.77";Arabica;Light
HSF-66926-425;Mar-01-2020;00539-42510-RY;L-D-2.5;5;"Nickey Youles";nyoules2t@reference.com;Ireland;Lib;D;"2.5 kg";"$ 29.78";"$ 148.92";Libarica;Dark
LQG-41416-375;Oct-19-2021;45190-08727-NV;L-D-1;3;"Dyanna Aizikovitz";daizikovitz2u@answers.com;Ireland;Lib;D;"1.0 kg";"$ 12.95";"$ 38.85";Libarica;Dark
VZO-97265-841;Jul-08-2022;87049-37901-FU;R-M-0.2;4;"Bram Revel";brevel2v@fastcompany.com;"United States";Rob;M;"0.2 kg";"$ 2.99";"$ 11.94";Robusta;Medium
MOR-12987-399;Aug-17-2019;34015-31593-JC;L-M-1;6;"Emiline Priddis";epriddis2w@nationalgeographic.com;"United States";Lib;M;"1.0 kg";"$ 14.55";"$ 87.30";Libarica;Medium
UOA-23786-489;May-31-2020;90305-50099-SV;A-M-0.5;6;"Queenie Veel";qveel2x@jugem.jp;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 40.50";Arabica;Medium
AJL-52941-018;May-05-2020;55871-61935-MF;E-D-1;2;"Lind Conyers";lconyers2y@twitter.com;"United States";Exc;D;"1.0 kg";"$ 12.15";"$ 24.30";Excelsa;Dark
XSZ-84273-421;Apr-14-2019;15405-60469-TM;R-M-0.5;3;"Pen Wye";pwye2z@dagondesign.com;"United States";Rob;M;"0.5 kg";"$ 5.97";"$ 17.91";Robusta;Medium
NUN-48214-216;Jul-29-2020;06953-94794-FB;A-M-0.5;4;"Isahella Hagland";NULL;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 27.00";Arabica;Medium
AKV-93064-769;Dec-12-2019;22305-40299-CY;L-D-0.5;1;"Terry Sheryn";tsheryn31@mtv.com;"United States";Lib;D;"0.5 kg";"$ 7.77";"$ 7.77";Libarica;Dark
BRB-40903-533;Jun-15-2022;09020-56774-GU;E-L-0.2;3;"Marie-jeanne Redgrave";mredgrave32@cargocollective.com;"United States";Exc;L;"0.2 kg";"$ 4.46";"$ 13.37";Excelsa;Light
GPR-19973-483;Jun-26-2019;92926-08470-YS;R-D-0.5;5;"Betty Fominov";bfominov33@yale.edu;"United States";Rob;D;"0.5 kg";"$ 5.37";"$ 26.85";Robusta;Dark
XIY-43041-882;Oct-12-2021;07250-63194-JO;A-M-1;1;"Shawnee Critchlow";scritchlow34@un.org;"United States";Ara;M;"1.0 kg";"$ 11.25";"$ 11.25";Arabica;Medium
YGY-98425-969;Apr-01-2019;63787-96257-TQ;L-M-1;1;"Merrel Steptow";msteptow35@earthlink.net;Ireland;Lib;M;"1.0 kg";"$ 14.55";"$ 14.55";Libarica;Medium
MSB-08397-648;Mar-10-2021;49530-25460-RW;R-L-0.2;4;"Carmina Hubbuck";NULL;"United States";Rob;L;"0.2 kg";"$ 3.58";"$ 14.34";Robusta;Light
WDR-06028-345;Aug-16-2019;66508-21373-OQ;L-L-1;1;"Ingeberg Mulliner";imulliner37@pinterest.com;"United Kingdom";Lib;L;"1.0 kg";"$ 15.85";"$ 15.85";Libarica;Light
MXM-42948-061;Aug-11-2020;20203-03950-FY;L-L-0.2;4;"Geneva Standley";gstandley38@dion.ne.jp;Ireland;Lib;L;"0.2 kg";"$ 4.76";"$ 19.02";Libarica;Light
MGQ-98961-173;Apr-05-2022;83895-90735-XH;L-L-0.5;4;"Brook Drage";bdrage39@youku.com;"United States";Lib;L;"0.5 kg";"$ 9.51";"$ 38.04";Libarica;Light
RFH-64349-897;Oct-22-2019;61954-61462-RJ;E-D-0.5;3;"Muffin Yallop";myallop3a@fema.gov;"United States";Exc;D;"0.5 kg";"$ 7.29";"$ 21.87";Excelsa;Dark
TKL-20738-660;Oct-02-2021;47939-53158-LS;E-M-0.2;1;"Cordi Switsur";cswitsur3b@chronoengine.com;"United States";Exc;M;"0.2 kg";"$ 4.13";"$ 4.13";Excelsa;Medium
TKL-20738-660;Oct-02-2021;47939-53158-LS;A-L-0.2;1;"Cordi Switsur";cswitsur3b@chronoengine.com;"United States";Ara;L;"0.2 kg";"$ 3.89";"$ 3.89";Arabica;Light
TKL-20738-660;Oct-02-2021;47939-53158-LS;E-M-1;5;"Cordi Switsur";cswitsur3b@chronoengine.com;"United States";Exc;M;"1.0 kg";"$ 13.75";"$ 68.75";Excelsa;Medium
GOW-03198-575;Mar-13-2021;61513-27752-FA;A-D-0.5;4;"Mahala Ludwell";mludwell3e@blogger.com;"United States";Ara;D;"0.5 kg";"$ 5.97";"$ 23.88";Arabica;Dark
QJB-90477-635;Jun-12-2022;89714-19856-WX;L-L-2.5;4;"Doll Beauchamp";dbeauchamp3f@usda.gov;"United States";Lib;L;"2.5 kg";"$ 36.46";"$ 145.82";Libarica;Light
MWP-46239-785;Apr-27-2019;87979-56781-YV;L-M-0.2;5;"Stanford Rodliff";srodliff3g@ted.com;"United States";Lib;M;"0.2 kg";"$ 4.37";"$ 21.83";Libarica;Medium
QDV-03406-248;May-23-2019;74126-88836-KA;L-M-0.5;3;"Stevana Woodham";swoodham3h@businesswire.com;Ireland;Lib;M;"0.5 kg";"$ 8.73";"$ 26.19";Libarica;Medium
GPH-40635-105;Jul-14-2020;37397-05992-VO;A-M-1;1;"Hewet Synnot";hsynnot3i@about.com;"United States";Ara;M;"1.0 kg";"$ 11.25";"$ 11.25";Arabica;Medium
JOM-80930-071;Nov-10-2021;54904-18397-UD;L-D-1;6;"Raleigh Lepere";rlepere3j@shop-pro.jp;Ireland;Lib;D;"1.0 kg";"$ 12.95";"$ 77.70";Libarica;Dark
OIL-26493-755;Aug-31-2021;19017-95853-EK;A-M-0.5;1;"Timofei Woofinden";twoofinden3k@businesswire.com;"United States";Ara;M;"0.5 kg";"$ 6.75";"$ 6.75";Arabica;Medium
CYV-13426-645;Jul-06-2019;88593-59934-VU;E-D-1;1;"Evelina Dacca";edacca3l@google.pl;"United States";Exc;D;"1.0 kg";"$ 12.15";"$ 12.15";Excelsa;Dark
WRP-39846-614;Mar-04-2022;47493-68564-YM;A-L-2.5;5;"Bidget Tremellier";NULL;Ireland;Ara;L;"2.5 kg";"$ 29.78";"$ 148.92";Arabica;Light
VDZ-76673-968;Dec-31-2020;82246-82543-DW;E-D-0.5;2;"Bobinette Hindsberg";bhindsberg3n@blogs.com;"United States";Exc;D;"0.5 kg";"$ 7.29";"$ 14.58";Excelsa;Dark
VTV-03546-175;Jul-31-2020;03384-62101-IY;A-L-2.5;5;"Osbert Robins";orobins3o@salon.com;"United States";Ara;L;"2.5 kg";"$ 29.78";"$ 148.92";Arabica;Light
GHR-72274-715;May-24-2021;86881-41559-OR;L-D-1;1;"Othello Syseland";osyseland3p@independent.co.uk;"United States";Lib;D;"1.0 kg";"$ 12.95";"$ 12.95";Libarica;Dark
ZGK-97262-313;Jul-16-2022;02536-18494-AQ;E-M-2.5;3;"Ewell Hanby";NULL;"United States";Exc;M;"2.5 kg";"$ 31.62";"$ 94.87";Excelsa;Medium
